AuthorNo,pmid,name,ORCID,LastName,ForeName,Initials,affiliation,ISEmail,ISBiohub author,Suffix,BiohubAuthor,MatchName,TrustMatch,MatchType,OrcidMatch,EmailMatch,AffiliationMatch,Biohub,Biohub-Funding,Stanford,UCSF,Berkeley,Email,EqualContrib
fc4f38ef-f3c6-4a54-af26-db677251bdf6,36220098,Shuo Han,,Han,Shuo,S,"Departments of Genetics, Biology, and Chemistry, Chan Zuckerberg Biohub, Stanford University, Stanford, CA 94305, USA.",,Yes,,,,,,,,,,,,,,,
037a9be0-6344-4a79-b935-8638e964232a,36220098,Alice Y Ting,,Ting,Alice Y,AY,"Departments of Genetics, Biology, and Chemistry, Chan Zuckerberg Biohub, Stanford University, Stanford, CA 94305, USA.",,Yes,,Investigator,"Ting, Alice",Yes,FN-MI,False,,,,,,,,,
c7896427-1205-4fba-aacf-d330b2b1d159,36220098,Steven A Carr,,Carr,Steven A,SA,"The Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA.",,,,,,,,,,,,,,,,,
5d106bd2-0209-40a2-b1e6-9d895662cccf,36220098,Liqun Luo,,Luo,Liqun,L,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA. Electronic address: lluo@stanford.edu.",Yes,,,,,,,,,,,,,,,,
2d6e605e-3b6a-4332-a9c7-945f0a1cbf60,36215069,Carina Marquez,,Marquez,Carina,C,"Division of HIV, Infectious Diseases and Global Medicine, Zuckerberg San Francisco General Hospital, University of California, San Francisco, San Francisco.",,,,,,,,,,,,,,,,,
b6355527-df4e-4af7-8dfe-40d886c96d28,36215069,Andrew D Kerkhoff,,Kerkhoff,Andrew D,AD,"Division of HIV, Infectious Diseases and Global Medicine, Zuckerberg San Francisco General Hospital, University of California, San Francisco, San Francisco.",,,,,,,,,,,,,,,,,
feb2aa82-4674-4997-b0bf-e0722cc20859,36215069,John Schrom,,Schrom,John,J,"Division of HIV, Infectious Diseases and Global Medicine, Zuckerberg San Francisco General Hospital, University of California, San Francisco, San Francisco.",,,,,,,,,,,,,,,,,
bfa77baa-9f76-455b-96ab-13355c5b1d0f,36215069,Susana Rojas,,Rojas,Susana,S,"The San Francisco Latino Task Force-Response to COVID-19, San Francisco, California.",,,,,,,,,,,,,,,,,
467d1934-2465-4d7b-ba1b-29803b6bc124,36215069,Douglas Black,,Black,Douglas,D,"Division of HIV, Infectious Diseases and Global Medicine, Zuckerberg San Francisco General Hospital, University of California, San Francisco, San Francisco.",,,,,,,,,,,,,,,,,
8fdab396-85ed-4811-90c6-d4a0710738dc,36215069,Anthea Mitchell,,Mitchell,Anthea,A,"Chan-Zuckerberg Biohub, San Francisco, California.",,Yes,,,,,,,,,,,,,,,
6e7e004b-d7bb-40f5-82fd-6f5af159880f,36215069,Chung-Yu Wang,,Wang,Chung-Yu,CY,"Chan-Zuckerberg Biohub, San Francisco, California.",,Yes,,,,,,,,,,,,,,,
024ddb06-fabc-496a-89f6-c207dd420902,36215069,Genay Pilarowski,,Pilarowski,Genay,G,"Unidos en Salud, San Francisco, California.",,,,,,,,,,,,,,,,,
dfe87e50-22eb-41a4-8c83-9b98407b34a8,36215069,Salustiano Ribeiro,,Ribeiro,Salustiano,S,"Bay Area Phlebotomy and Laboratory Services, San Francisco, California.",,,,,,,,,,,,,,,,,
b8e064ff-78d5-4caf-bca0-47f1f9679414,36215069,Diane Jones,,Jones,Diane,D,"Unidos en Salud, San Francisco, California.",,,,,,,,,,,,,,,,,
5f65b919-b30d-4c81-b213-f1595d944f8a,36215069,Joselin Payan,,Payan,Joselin,J,"Unidos en Salud, San Francisco, California.",,,,,,,,,,,,,,,,,
25c9330b-24d8-4615-a1e9-c9533a698990,36215069,Simone Manganelli,,Manganelli,Simone,S,"Unidos en Salud, San Francisco, California.",,,,,,,,,,,,,,,,,
8373d451-0058-4a05-826c-c96cb1b88747,36215069,Susy Rojas,,Rojas,Susy,S,"Unidos en Salud, San Francisco, California.",,,,,,,,,,,,,,,,,
db8c1517-c7eb-43eb-8745-79817d9d121e,36215069,Jonathan Lemus,,Lemus,Jonathan,J,"Unidos en Salud, San Francisco, California.",,,,,,,,,,,,,,,,,
21d08104-a638-4b91-bbda-c7666fc90425,36215069,Vivek Jain,,Jain,Vivek,V,"Division of HIV, Infectious Diseases and Global Medicine, Zuckerberg San Francisco General Hospital, University of California, San Francisco, San Francisco.",,,,,,,,,,,,,,,,,
bf9cbdd5-32f5-4ee7-bbd2-5d95d72e9a46,36215069,Gabriel Chamie,,Chamie,Gabriel,G,"Division of HIV, Infectious Diseases and Global Medicine, Zuckerberg San Francisco General Hospital, University of California, San Francisco, San Francisco.",,,,,,,,,,,,,,,,,
26571ab3-4fef-4f2e-8d2d-6ac4bf9bbee9,36215069,Valerie Tulier-Laiwa,,Tulier-Laiwa,Valerie,V,"The San Francisco Latino Task Force-Response to COVID-19, San Francisco, California.",,,,,,,,,,,,,,,,,
40a9ba16-6546-42ce-b82b-a4ea791f0ef3,36215069,Maya Petersen,,Petersen,Maya,M,"Division of Biostatistics, School of Public Health, University of California, Berkeley, Berkeley.",,,,,,,,,,,,,,,,,
3f67d101-764a-4155-ac27-08e7101146eb,36215069,Joseph DeRisi,,DeRisi,Joseph,J,"Chan-Zuckerberg Biohub, San Francisco, California.",,Yes,,President,"DeRisi, Joe",Yes,FN,False,,,,,,,,,
f1bcb40b-6b65-44fb-9f53-57c7763699cc,36215069,Diane V Havlir,,Havlir,Diane V,DV,"Division of HIV, Infectious Diseases and Global Medicine, Zuckerberg San Francisco General Hospital, University of California, San Francisco, San Francisco.",,,,,,,,,,,,,,,,,
b8eb0263-dbdd-4412-a8c9-d5a57f7e0094,36200787,Susanna K Elledge,,Elledge,Susanna K,SK,"Department of Pharmaceutical Chemistry, University of California, San Francisco, California.",,,,,,,,,,,,,,,,,
f419470e-2def-4e5d-bff0-221d21f93d36,36200787,Ian Eigl,,Eigl,Ian,I,"Department of Pharmaceutical Chemistry, University of California, San Francisco, California.",,,,,,,,,,,,,,,,,
429b4012-6a68-422f-b5e8-d4ad43271a80,36200787,Maira Phelps,,Phelps,Maira,M,"Chan Zuckerberg Biohub, San Francisco, California.",,Yes,,,,,,,,,,,,,,,
cd1a78c7-1334-4b22-81ae-3e7b4911ecb0,36200787,Khayla McClinton,,McClinton,Khayla,K,"IQVIA, Atlanta, Georgia.",,,,,,,,,,,,,,,,,
42b2fc9c-949c-4b76-b5f8-a2faae8f9cad,36200787,Xin X Zhou,,Zhou,Xin X,XX,"Cancer Biology, Dana Farber Cancer Institute, Boston, Massachusetts.",,,,,,,,,,,,,,,,,
780a5b25-4c57-45b3-b89e-34ba1fa7c38f,36200787,Kevin K Leung,,Leung,Kevin K,KK,"Department of Pharmaceutical Chemistry, University of California, San Francisco, California.",,,,,,,,,,,,,,,,,
2c704fc5-4991-4971-aae5-b4fe5fbae723,36200787,Cristina M Tato,,Tato,Cristina M,CM,"Chan Zuckerberg Biohub, San Francisco, California.",,Yes,,Group leader,"Tato, Cristina",Yes,FN-MI,True,,,,,,,,,
55f055d8-9cb5-4a0d-89d2-a7304dcba36b,36200787,James A Wells,,Wells,James A,JA,"Department of Pharmaceutical Chemistry, University of California, San Francisco, California.; Chan Zuckerberg Biohub, San Francisco, California.; Department of Cellular and Molecular Pharmacology, University of California, San Francisco, California.",,Yes,,Investigator,"Wells, Jim",Yes,FN-MI,False,,,,,,,,,
c2a5645a-91ff-47e7-8841-fd9f5e2c6711,36191183,Salem Al-Mosleh,https://orcid.org/0000-0002-6988-2991,Al-Mosleh,Salem,S,"John A. Paulson School of Engineering and Applied Sciences, Harvard University, Cambridge, MA 02138.",,,,,,,,,,,,,,,,,
0d978619-8adc-46c2-9a4e-ee931cce695c,36191183,Ajay Gopinathan,https://orcid.org/0000-0002-9369-8780,Gopinathan,Ajay,A,"Department of Physics, University of California, Merced, CA 95343.; NSF-CREST: Center for Cellular and Biomolecular Machines, University of California, Merced, CA 95343.",,,,,,,,,,,,,,,,,
715ee187-6635-4168-869f-a217abc4865a,36191183,Christian D Santangelo,,Santangelo,Christian D,CD,"Department of Physics, Syracuse University, Syracuse, NY 13210.",,,,,,,,,,,,,,,,,
beafb9ab-866d-40b1-bf0d-ddf51df8a460,36191183,Kerwyn Casey Huang,https://orcid.org/0000-0002-8043-8138,Huang,Kerwyn Casey,KC,"Department of Bioengineering, Stanford University, Stanford, CA 94305.; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford, CA 94305.; Chan Zuckerberg Biohub, San Francisco, CA 94158.",,Yes,,Investigator,"Huang, KC",Yes,FN-MN,True,,,,,,,,,
059317e4-6927-4027-94ba-40489800db25,36191183,Enrique R Rojas,,Rojas,Enrique R,ER,"Department of Biology, New York University, New York, NY 10003.",,,,,,,,,,,,,,,,,
c64a5e67-d98e-4c37-81d2-7e1edb5e7ace,36181424,Ariane Soldatos,https://orcid.org/0000-0003-3570-5230,Soldatos,Ariane,A,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
14e4e60a-d40e-4e8b-9b02-5f8c4eeb791b,36181424,Thomas B Nutman,,Nutman,Thomas B,TB,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
6665915f-2727-44e0-ad99-1b5d7a5e6782,36181424,Tory Johnson,https://orcid.org/0000-0001-7468-3586,Johnson,Tory,T,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
fd599c04-2717-4ac5-b836-c568fe41d007,36181424,Scott F Dowell,,Dowell,Scott F,SF,"Centers for Disease Control and Prevention, Atlanta, GA, 30329, USA.",,,,,,,,,,,,,,,,,
2435071b-559b-4dab-b2f5-b6078140b0e0,36181424,James J Sejvar,,Sejvar,James J,JJ,"Centers for Disease Control and Prevention, Atlanta, GA, 30329, USA.",,,,,,,,,,,,,,,,,
b082d092-e7a9-45c3-9cb3-fe62779079c3,36181424,Michael R Wilson,https://orcid.org/0000-0002-8705-5084,Wilson,Michael R,MR,"University of California San Francisco, CA, 94143, USA.; UCSF Weill Institute for Neurosciences, CA, 94158, USA.",,,,,,,,,,,,,,,,,
6e78ccb5-1fa9-4bf3-b5f7-b2959c73be91,36181424,Joseph L DeRisi,,DeRisi,Joseph L,JL,"University of California San Francisco, CA, 94143, USA.; Chan Zuckerberg Biohub, San Francisco, CA, 94158, USA.",,Yes,,President,"DeRisi, Joe",Yes,FN-MI,False,,,,,,,,,
74e28309-2a5e-47e4-b898-b5c0e8bbf8f5,36181424,Sara K Inati,,Inati,Sara K,SK,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
e54df1ae-dbb8-4188-9325-2e1f546a8aa1,36181424,Catherine Groden,,Groden,Catherine,C,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
ffa3668b-8b70-4f05-8185-3c168fb4f937,36181424,Colleen Evans,,Evans,Colleen,C,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
d54278a6-606f-43ce-ad14-abfbcb1697dd,36181424,Elise M O'Connell,,O'Connell,Elise M,EM,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
bd874944-5623-422b-8072-5605567ac4e0,36181424,Bernard Opar Toliva,,Toliva,Bernard Opar,BO,"Ministry of Health, Kampala, Republic of Uganda.",,,,,,,,,,,,,,,,,
b9905323-d5ee-4efe-9c36-ed57df2b41c8,36181424,Jane R Aceng,,Aceng,Jane R,JR,"Ministry of Health, Kampala, Republic of Uganda.",,,,,,,,,,,,,,,,,
2a73626d-ede7-4077-9967-5900c4e63f2f,36181424,Josephine Aryek-Kwe,,Aryek-Kwe,Josephine,J,"Ministry of Health, Kampala, Republic of Uganda.",,,,,,,,,,,,,,,,,
15a910bf-9b01-4c3e-abd3-462b8816ca76,36181424,Camilo Toro,,Toro,Camilo,C,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
84fb2df2-0543-4991-b893-b73ea078556d,36181424,Constantine A Stratakis,,Stratakis,Constantine A,CA,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
841c3023-8352-4106-9324-97ea70cddcc8,36181424,A Gretchen Buckler,,Buckler,A Gretchen,AG,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
b03e1cb5-5e3d-4a76-8837-6e7943b0a011,36181424,Cathy Cantilena,,Cantilena,Cathy,C,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
2b42dd6c-6f74-42bd-8c89-12bce0213a97,36181424,Tara N Palmore,,Palmore,Tara N,TN,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
73ca851a-f201-4248-9fa7-4cf5e7d8c804,36181424,Audrey Thurm,,Thurm,Audrey,A,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
fe0f1513-ce96-4936-b6c5-385738fc9f97,36181424,Eva H Baker,,Baker,Eva H,EH,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
1b1febf8-27ed-43ee-ac6d-e271dc50b8c3,36181424,Richard Chang,,Chang,Richard,R,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
6060b886-9e90-4f49-aff5-3ec3177b01e2,36181424,Harper Fauni,,Fauni,Harper,H,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
bcaf0dd7-f095-4d88-aecb-4888050133d2,36181424,David Adams,,Adams,David,D,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
eb1a1ffa-be26-4ac0-92dc-f0ef0fd4f5d0,36181424,Ellen F Macnamara,,Macnamara,Ellen F,EF,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
ead0eafe-8b62-4583-8b54-654a57f362c8,36181424,C Christopher Lau,,Lau,C Christopher,CC,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
1dc9009b-74f3-401b-9be3-fab7aa094e2e,36181424,May Christine V Malicdan,,Malicdan,May Christine V,MCV,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
3810e9af-b0b9-414b-b4df-0867fef4df18,36181424,Barbara Pusey-Swerdzewski,,Pusey-Swerdzewski,Barbara,B,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
476d2273-e6fc-4f20-9fb2-70633928d77a,36181424,Robert Downing,,Downing,Robert,R,"Uganda Virus Research Institute, Ministry of Health, Entebbe, Republic of Uganda.",,,,,,,,,,,,,,,,,
e8505cbb-3204-41ce-82d2-324d667a4af5,36181424,Sudhir Bunga,,Bunga,Sudhir,S,"Centers for Disease Control and Prevention, Atlanta, GA, 30329, USA.",,,,,,,,,,,,,,,,,
de32a6e6-3d26-41b4-a539-026feb11ecf6,36181424,Jerry D Thomas,,Thomas,Jerry D,JD,"National Center for Environmental Health, Atlanta, GA, 30341, USA.",,,,,,,,,,,,,,,,,
e33142d4-e997-4ca4-ac6d-c9d6c044c8a1,36181424,William A Gahl,,Gahl,William A,WA,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
6ca6956b-d7e2-4760-8df8-2b1573f55a90,36181424,Avindra Nath,https://orcid.org/0000-0003-0927-5855,Nath,Avindra,A,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
95bff9cd-f198-4c06-98ee-7552fd70a17f,36175767,Trang Le,,Le,Trang,T,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden.; Department of Bioengineering, Stanford University, Stanford, CA, USA.",,,,,,,,,,,,,,,,,
908beac2-9732-4090-9b41-bb7c52fab142,36175767,Casper F Winsnes,https://orcid.org/0000-0002-0028-5865,Winsnes,Casper F,CF,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden.",,,,,,,,,,,,,,,,,
911dbd5c-46a5-4472-a1be-244bcbd1f55d,36175767,Ulrika Axelsson,https://orcid.org/0000-0002-0273-9306,Axelsson,Ulrika,U,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden.",,,,,,,,,,,,,,,,,
d39ddeb4-a9a5-4152-a2c1-9c58cb15300e,36175767,Hao Xu,,Xu,Hao,H,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden.",,,,,,,,,,,,,,,,,
137d65f7-d07d-4b1b-a5bb-166aa435759e,36175767,Jayasankar Mohanakrishnan Kaimal,,Mohanakrishnan Kaimal,Jayasankar,J,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden.",,,,,,,,,,,,,,,,,
dd382341-1fbf-4aa3-851a-6ebbf207e400,36175767,Diana Mahdessian,,Mahdessian,Diana,D,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden.",,,,,,,,,,,,,,,,,
b52e7c90-0e44-441b-9f3b-31d33374868e,36175767,Shubin Dai,https://orcid.org/0000-0001-6680-0500,Dai,Shubin,S,", Changsha, China.",,,,,,,,,,,,,,,,,
3f01aad1-0694-4ebe-9e91-3cab63d63bcd,36175767,Ilya S Makarov,,Makarov,Ilya S,IS,", Copenhagen, Denmark.",,,,,,,,,,,,,,,,,
4155989b-5889-46b5-a70f-4b5a1c8818b7,36175767,Vladislav Ostankovich,https://orcid.org/0000-0001-7020-8825,Ostankovich,Vladislav,V,"Innopolis University, Innopolis, Russian Federation.",,,,,,,,,,,,,,,,,
9e49486e-7a6c-41e7-802f-39ef648e790b,36175767,Yang Xu,,Xu,Yang,Y,"Research and Development Department, Guangdong Longsee Biomedical Corporation, Guangzhou, China.",,,,,,,,,,,,,,,,,
f30da864-ce44-4253-af3d-e00494f697ea,36175767,Eric Benhamou,,Benhamou,Eric,E,"LYSEWIRED, Toulouse, France.",,,,,,,,,,,,,,,,,
35d5aab1-a399-47ba-b01e-092831f3bffb,36175767,Christof Henkel,https://orcid.org/0000-0002-2913-3662,Henkel,Christof,C,"Nvidia, Santa Clara, CA, USA.",,,,,,,,,,,,,,,,,
c6ed2b9b-d774-4005-a405-3e2ff25ebeef,36175767,Roman A Solovyev,https://orcid.org/0000-0003-0312-452X,Solovyev,Roman A,RA,"Institute for Design Problems in Microelectronics of Russian Academy of Sciences, Moscow, Russian Federation.",,,,,,,,,,,,,,,,,
14c866d6-46d3-43a4-8896-7ee67656ac27,36175767,Nikola Banić,,Banić,Nikola,N,"Gideon Brothers, Zagreb, Croatia.",,,,,,,,,,,,,,,,,
59737ce9-964a-4cb2-8cff-61c1c7137e12,36175767,Vito Bošnjak,https://orcid.org/0000-0003-3786-0592,Bošnjak,Vito,V,"University Hospital 'Sveti Duh', Zagreb, Croatia.",,,,,,,,,,,,,,,,,
16f8d61f-210a-4c0d-bb2a-9f79376be011,36175767,Ana Bošnjak,https://orcid.org/0000-0002-3425-8363,Bošnjak,Ana,A,"Health Center Zagreb - West, Zagreb, Croatia.",,,,,,,,,,,,,,,,,
3048da4b-1118-4498-985b-fb07880475b5,36175767,Andrija Miličević,https://orcid.org/0000-0001-7148-7651,Miličević,Andrija,A,"Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia.",,,,,,,,,,,,,,,,,
2af0981d-a534-4be9-a486-c4ce051739c5,36175767,Wei Ouyang,https://orcid.org/0000-0002-0291-926X,Ouyang,Wei,W,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden.",,,,,,,,,,,,,,,,,
c4b34745-368a-473c-b3f9-aa26ddb61eac,36175767,Emma Lundberg,https://orcid.org/0000-0001-7034-0850,Lundberg,Emma,E,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden. emmalu@stanford.edu.; Department of Bioengineering, Stanford University, Stanford, CA, USA. emmalu@stanford.edu.; Department of Pathology, Stanford University, Stanford, CA, USA. emmalu@stanford.edu.; Chan Zuckerberg Biohub, San Francisco, CA, USA. emmalu@stanford.edu.",Yes,Yes,,,,,,,,,,,,,,,
e1931b19-142b-4757-bd63-e8bdc0ccbf85,36163507,Qitong Li,https://orcid.org/0000-0001-8048-9181,Li,Qitong,Q,"Geballe Laboratory for Advanced Materials, Stanford University, Stanford, CA, USA.",,,,,,,,,,,,,,,,,
aa234e1f-6323-4b33-a5a2-e06355b84a3a,36163507,Jorik van de Groep,https://orcid.org/0000-0003-3033-8005,van de Groep,Jorik,J,"Geballe Laboratory for Advanced Materials, Stanford University, Stanford, CA, USA.; Van der Waals-Zeeman Institute for Experimental Physics, Institute of Physics, University of Amsterdam, Amsterdam, Netherlands.",,,,,,,,,,,,,,,,,
c30f7959-410c-49eb-9f25-cca7345de70d,36163507,Adam K White,,White,Adam K,AK,"Department of Bioengineering, Stanford University, Stanford, CA, USA.",,,,,,,,,,,,,,,,,
848ebef9-3926-441a-879f-960518bae119,36163507,Jung-Hwan Song,https://orcid.org/0000-0001-9502-5718,Song,Jung-Hwan,JH,"Geballe Laboratory for Advanced Materials, Stanford University, Stanford, CA, USA.",,,,,,,,,,,,,,,,,
8969a7d9-874b-4d50-b878-7eda9ebfe073,36163507,Scott A Longwell,,Longwell,Scott A,SA,"Department of Bioengineering, Stanford University, Stanford, CA, USA.",,,,,,,,,,,,,,,,,
37d6bf5a-c303-4ab7-9a42-e3bedc91e882,36163507,Polly M Fordyce,,Fordyce,Polly M,PM,"Department of Bioengineering, Stanford University, Stanford, CA, USA.; Department of Genetics, Stanford University, Stanford, CA, USA.; ChEM-H Institute, Stanford University, Stanford, CA, USA.; Chan Zuckerberg Biohub, San Francisco, CA, USA.",,Yes,,Investigator,"Fordyce, Polly",Yes,FN-MI,False,,,,,,,,,
22bbf45d-b78c-4bda-942a-0613f9a174b0,36163507,Stephen R Quake,,Quake,Stephen R,SR,"Department of Bioengineering, Stanford University, Stanford, CA, USA.; Chan Zuckerberg Biohub, San Francisco, CA, USA.; Department of Applied Physics, Stanford University, Stanford, CA, USA.",,Yes,,President,"Quake, Steve",Yes,FN-MI,False,,,,,,,,,
969d5b15-2630-4894-b8bd-1abd748d9442,36163507,Pieter G Kik,https://orcid.org/0000-0003-3575-3865,Kik,Pieter G,PG,"Geballe Laboratory for Advanced Materials, Stanford University, Stanford, CA, USA.; CREOL, The College of Optics and Photonics, University of Central Florida, Orlando, FL, USA.",,,,,,,,,,,,,,,,,
dad3e449-c283-439d-bf7f-f2bff3545a0f,36163507,Mark L Brongersma,https://orcid.org/0000-0003-1777-8970,Brongersma,Mark L,ML,"Geballe Laboratory for Advanced Materials, Stanford University, Stanford, CA, USA. brongersma@stanford.edu.",Yes,,,,,,,,,,,,,,,,
f832a466-e252-4f34-bf5f-2d872757bc28,36163278,Lovelace J Luquette,https://orcid.org/0000-0001-6968-9043,Luquette,Lovelace J,LJ,"Department of Biomedical Informatics, Harvard Medical School, Boston, MA, USA.",,,,,,,,,,,,,,,,,
