AuthorNo,pmid,name,ORCID,LastName,ForeName,Initials,affiliation,ISEmail,ISBiohub author,Suffix,BiohubAuthor,MatchName,TrustMatch,MatchType,OrcidMatch,EmailMatch,AffiliationMatch,Biohub,Biohub-Funding,Stanford,UCSF,Berkeley,Email,EqualContrib
1bae00ad-625e-4cc0-a553-d688229fea92,36220098,Chuanyun Xu,,Xu,Chuanyun,C,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA.",,,,,,,,,,,,,,,,,
bf4b22f4-94a3-45d0-b63b-4608e94aafc0,36220098,D R Mani,,Mani,D R,DR,"The Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA.",,,,,,,,,,,,,,,,,
afb63250-8eb6-41c0-b12d-4acbf3b6f1d5,36220098,Shuo Han,,Han,Shuo,S,"Departments of Genetics, Biology, and Chemistry, Chan Zuckerberg Biohub, Stanford University, Stanford, CA 94305, USA.",,Yes,,,,,,,,,,,,,,,
6847ce3c-455b-4631-85e9-50f4fc79691d,36220098,Alice Y Ting,,Ting,Alice Y,AY,"Departments of Genetics, Biology, and Chemistry, Chan Zuckerberg Biohub, Stanford University, Stanford, CA 94305, USA.",,Yes,,Investigator,"Ting, Alice",Yes,FN-MI,,,,,,,,,,
829acaaa-61f0-450a-b9b1-c1a2e9b836cc,36220098,Steven A Carr,,Carr,Steven A,SA,"The Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA.",,,,,,,,,,,,,,,,,
01622dd4-8cae-4f69-9dbb-4639646df0a7,36220098,Liqun Luo,,Luo,Liqun,L,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA. Electronic address: lluo@stanford.edu.",Yes,,,,,,,,,,,,,,,,
9450ba42-7253-4f47-b92a-2f1a33e471f4,36215069,Carina Marquez,,Marquez,Carina,C,"Division of HIV, Infectious Diseases and Global Medicine, Zuckerberg San Francisco General Hospital, University of California, San Francisco, San Francisco.",,,,,,,,,,,,,,,,,
c048981d-134a-4885-bebb-a714906eefad,36215069,Andrew D Kerkhoff,,Kerkhoff,Andrew D,AD,"Division of HIV, Infectious Diseases and Global Medicine, Zuckerberg San Francisco General Hospital, University of California, San Francisco, San Francisco.",,,,,,,,,,,,,,,,,
d2aaabde-3975-4618-afa3-d93e6e48fb17,36215069,John Schrom,,Schrom,John,J,"Division of HIV, Infectious Diseases and Global Medicine, Zuckerberg San Francisco General Hospital, University of California, San Francisco, San Francisco.",,,,,,,,,,,,,,,,,
b579ad4b-fd48-4c4e-af5a-213c1ae2d753,36215069,Susana Rojas,,Rojas,Susana,S,"The San Francisco Latino Task Force-Response to COVID-19, San Francisco, California.",,,,,,,,,,,,,,,,,
a2e6b106-60cd-4594-87a7-27b2fb2456f0,36215069,Douglas Black,,Black,Douglas,D,"Division of HIV, Infectious Diseases and Global Medicine, Zuckerberg San Francisco General Hospital, University of California, San Francisco, San Francisco.",,,,,,,,,,,,,,,,,
c9ef28a5-45c3-49a6-a63e-f1d118bdd8c2,36215069,Anthea Mitchell,,Mitchell,Anthea,A,"Chan-Zuckerberg Biohub, San Francisco, California.",,Yes,,,,,,,,,,,,,,,
d0b1a7c5-a31a-4e97-b061-f8c97194abce,36215069,Chung-Yu Wang,,Wang,Chung-Yu,CY,"Chan-Zuckerberg Biohub, San Francisco, California.",,Yes,,,,,,,,,,,,,,,
3922882e-c37a-464e-aab4-0ec07aa84a54,36215069,Genay Pilarowski,,Pilarowski,Genay,G,"Unidos en Salud, San Francisco, California.",,,,,,,,,,,,,,,,,
148ec6b1-09e0-4235-af8a-eaefc24b4cef,36215069,Salustiano Ribeiro,,Ribeiro,Salustiano,S,"Bay Area Phlebotomy and Laboratory Services, San Francisco, California.",,,,,,,,,,,,,,,,,
394005ca-32e9-4947-aa7f-f9e1d5e42f89,36215069,Diane Jones,,Jones,Diane,D,"Unidos en Salud, San Francisco, California.",,,,,,,,,,,,,,,,,
d7d9da2e-80c6-4185-9ad2-20104bba3910,36215069,Joselin Payan,,Payan,Joselin,J,"Unidos en Salud, San Francisco, California.",,,,,,,,,,,,,,,,,
59320e70-0843-416f-a314-35d2f4632fa1,36215069,Simone Manganelli,,Manganelli,Simone,S,"Unidos en Salud, San Francisco, California.",,,,,,,,,,,,,,,,,
b10a3ff5-f716-403f-8d09-aa6cf9c4d52d,36215069,Susy Rojas,,Rojas,Susy,S,"Unidos en Salud, San Francisco, California.",,,,,,,,,,,,,,,,,
3dad43e0-6229-4d56-9f09-6726a20e8e8f,36215069,Jonathan Lemus,,Lemus,Jonathan,J,"Unidos en Salud, San Francisco, California.",,,,,,,,,,,,,,,,,
fd689efb-3348-4785-8fdd-0fa1a8a4fa5f,36215069,Vivek Jain,,Jain,Vivek,V,"Division of HIV, Infectious Diseases and Global Medicine, Zuckerberg San Francisco General Hospital, University of California, San Francisco, San Francisco.",,,,,,,,,,,,,,,,,
d9a2ab66-7b77-4c1e-bd7a-4769b008ad94,36215069,Gabriel Chamie,,Chamie,Gabriel,G,"Division of HIV, Infectious Diseases and Global Medicine, Zuckerberg San Francisco General Hospital, University of California, San Francisco, San Francisco.",,,,,,,,,,,,,,,,,
7d418e0e-02ae-4ceb-89c1-4c00b3a14c2e,36215069,Valerie Tulier-Laiwa,,Tulier-Laiwa,Valerie,V,"The San Francisco Latino Task Force-Response to COVID-19, San Francisco, California.",,,,,,,,,,,,,,,,,
fadab1f9-dda4-4894-9c7e-d8ca6c9da50e,36215069,Maya Petersen,,Petersen,Maya,M,"Division of Biostatistics, School of Public Health, University of California, Berkeley, Berkeley.",,,,,,,,,,,,,,,,,
7afa402d-e599-44b7-8722-780941278aa6,36215069,Joseph DeRisi,,DeRisi,Joseph,J,"Chan-Zuckerberg Biohub, San Francisco, California.",,Yes,,President,"DeRisi, Joe",Yes,FN,,,,,,,,,,
636548e5-bb9f-49cb-849f-245de9140921,36215069,Diane V Havlir,,Havlir,Diane V,DV,"Division of HIV, Infectious Diseases and Global Medicine, Zuckerberg San Francisco General Hospital, University of California, San Francisco, San Francisco.",,,,,,,,,,,,,,,,,
26277234-6567-4247-9f5f-5c299f987fa5,36200787,Susanna K Elledge,,Elledge,Susanna K,SK,"Department of Pharmaceutical Chemistry, University of California, San Francisco, California.",,,,,,,,,,,,,,,,,
2cfe57ec-eae6-436f-b447-b7ff4cd62b74,36200787,Ian Eigl,,Eigl,Ian,I,"Department of Pharmaceutical Chemistry, University of California, San Francisco, California.",,,,,,,,,,,,,,,,,
3b2bd973-031d-494c-8398-036eb2b91b0a,36200787,Maira Phelps,,Phelps,Maira,M,"Chan Zuckerberg Biohub, San Francisco, California.",,Yes,,,,,,,,,,,,,,,
dfc82495-676a-48f1-8eec-32367aac3699,36200787,Khayla McClinton,,McClinton,Khayla,K,"IQVIA, Atlanta, Georgia.",,,,,,,,,,,,,,,,,
fb1e13b7-4f04-4cd6-846b-ab3f06fdef85,36200787,Xin X Zhou,,Zhou,Xin X,XX,"Cancer Biology, Dana Farber Cancer Institute, Boston, Massachusetts.",,,,,,,,,,,,,,,,,
164b7b1f-a4df-49bf-8049-b084af71dc61,36200787,Kevin K Leung,,Leung,Kevin K,KK,"Department of Pharmaceutical Chemistry, University of California, San Francisco, California.",,,,,,,,,,,,,,,,,
8e406fdc-6bf0-4b2a-9dea-053aa8346b64,36200787,Cristina M Tato,,Tato,Cristina M,CM,"Chan Zuckerberg Biohub, San Francisco, California.",,Yes,,Group leader,"Tato, Cristina",Yes,FN-MI,,,,,,,,,,
54b9a9f8-b1ff-44d1-a08d-ec3f96146963,36200787,James A Wells,,Wells,James A,JA,"Department of Pharmaceutical Chemistry, University of California, San Francisco, California.; Chan Zuckerberg Biohub, San Francisco, California.; Department of Cellular and Molecular Pharmacology, University of California, San Francisco, California.",,Yes,,Investigator,"Wells, Jim",Yes,FN-MI,,,,,,,,,,
1376e4c8-99c2-4f35-bf6a-8655a2eb6735,36191183,Salem Al-Mosleh,https://orcid.org/0000-0002-6988-2991,Al-Mosleh,Salem,S,"John A. Paulson School of Engineering and Applied Sciences, Harvard University, Cambridge, MA 02138.",,,,,,,,,,,,,,,,,
93971817-6f53-44bb-90f8-e510d2109987,36191183,Ajay Gopinathan,https://orcid.org/0000-0002-9369-8780,Gopinathan,Ajay,A,"Department of Physics, University of California, Merced, CA 95343.; NSF-CREST: Center for Cellular and Biomolecular Machines, University of California, Merced, CA 95343.",,,,,,,,,,,,,,,,,
19e5164e-8550-4f7b-98cb-6bdab6681411,36191183,Christian D Santangelo,,Santangelo,Christian D,CD,"Department of Physics, Syracuse University, Syracuse, NY 13210.",,,,,,,,,,,,,,,,,
5e408fc4-14bb-46b3-86b2-f2f326669a26,36191183,Kerwyn Casey Huang,https://orcid.org/0000-0002-8043-8138,Huang,Kerwyn Casey,KC,"Department of Bioengineering, Stanford University, Stanford, CA 94305.; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford, CA 94305.; Chan Zuckerberg Biohub, San Francisco, CA 94158.",,Yes,,Investigator,"Huang, KC",Yes,FN-MN,True,,,,,,,,,
d5aa6ed9-0ce7-4f2b-82f5-ade865956e20,36191183,Enrique R Rojas,,Rojas,Enrique R,ER,"Department of Biology, New York University, New York, NY 10003.",,,,,,,,,,,,,,,,,
136a30e3-07d6-4c6f-97f6-f6cb15752953,36181424,Ariane Soldatos,https://orcid.org/0000-0003-3570-5230,Soldatos,Ariane,A,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
ae46c994-add6-4d1e-a15b-438e14c0d570,36181424,Thomas B Nutman,,Nutman,Thomas B,TB,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
8c9a9f03-17cf-4a93-b289-1b9db14f5b07,36181424,Tory Johnson,https://orcid.org/0000-0001-7468-3586,Johnson,Tory,T,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
bca4f747-3ce3-4127-89a7-598a413f5d97,36181424,Scott F Dowell,,Dowell,Scott F,SF,"Centers for Disease Control and Prevention, Atlanta, GA, 30329, USA.",,,,,,,,,,,,,,,,,
ac5ce374-5fc8-4bbd-9df2-518453b6f9e7,36181424,James J Sejvar,,Sejvar,James J,JJ,"Centers for Disease Control and Prevention, Atlanta, GA, 30329, USA.",,,,,,,,,,,,,,,,,
ae93ab24-c87a-44f3-af24-85e9832e4849,36181424,Michael R Wilson,https://orcid.org/0000-0002-8705-5084,Wilson,Michael R,MR,"University of California San Francisco, CA, 94143, USA.; UCSF Weill Institute for Neurosciences, CA, 94158, USA.",,,,,,,,,,,,,,,,,
99c95908-b062-4248-af62-a13321eded30,36181424,Joseph L DeRisi,,DeRisi,Joseph L,JL,"University of California San Francisco, CA, 94143, USA.; Chan Zuckerberg Biohub, San Francisco, CA, 94158, USA.",,Yes,,President,"DeRisi, Joe",Yes,FN-MI,,,,,,,,,,
8b6326c3-9b28-4110-adc7-49a8a14ae41b,36181424,Sara K Inati,,Inati,Sara K,SK,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
988dedea-0e72-47ea-ac8c-afe804915399,36181424,Catherine Groden,,Groden,Catherine,C,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
0f44b095-c64a-44f0-aeac-089bf787a4f0,36181424,Colleen Evans,,Evans,Colleen,C,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
0df07f82-db19-455b-92c7-d7e84b746deb,36181424,Elise M O'Connell,,O'Connell,Elise M,EM,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
332f4d8d-1d89-4d95-aefa-932ecb3d6936,36181424,Bernard Opar Toliva,,Toliva,Bernard Opar,BO,"Ministry of Health, Kampala, Republic of Uganda.",,,,,,,,,,,,,,,,,
180d46f8-c365-47f4-9d96-06bb126141d3,36181424,Jane R Aceng,,Aceng,Jane R,JR,"Ministry of Health, Kampala, Republic of Uganda.",,,,,,,,,,,,,,,,,
0e9b2590-ea7a-4734-8881-9364a533a3d9,36181424,Josephine Aryek-Kwe,,Aryek-Kwe,Josephine,J,"Ministry of Health, Kampala, Republic of Uganda.",,,,,,,,,,,,,,,,,
bc29ea3d-0413-495f-b5c2-7b759c459c98,36181424,Camilo Toro,,Toro,Camilo,C,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
61019b48-35cc-4c6c-b48c-230b8dbe6ba2,36181424,Constantine A Stratakis,,Stratakis,Constantine A,CA,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
9d2de426-2645-44da-838a-96503684395d,36181424,A Gretchen Buckler,,Buckler,A Gretchen,AG,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
a133fdd3-41d8-44d0-8d92-d38de51e9be1,36181424,Cathy Cantilena,,Cantilena,Cathy,C,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
a1a86f7b-0803-44b7-a9dc-878840528a47,36181424,Tara N Palmore,,Palmore,Tara N,TN,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
cd5f270c-3f13-4e3d-9d3f-1e4546a3deca,36181424,Audrey Thurm,,Thurm,Audrey,A,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
ab4d79f0-6203-4743-9040-e066c9a2a475,36181424,Eva H Baker,,Baker,Eva H,EH,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
833b8a10-54ea-4423-ab4f-7a3c4ce84592,36181424,Richard Chang,,Chang,Richard,R,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
c5de01cc-876c-4683-885c-970d5412de97,36181424,Harper Fauni,,Fauni,Harper,H,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
45b480ca-6234-4aa3-a714-c36476886f96,36181424,David Adams,,Adams,David,D,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
5a2259e8-f5db-481e-9d92-d248ed0726dd,36181424,Ellen F Macnamara,,Macnamara,Ellen F,EF,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
bd32b230-3759-4e94-ac94-862033eafa6d,36181424,C Christopher Lau,,Lau,C Christopher,CC,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
25016ccc-78e4-48bc-a6c4-a9da5d8df60b,36181424,May Christine V Malicdan,,Malicdan,May Christine V,MCV,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
89446951-497b-42f0-9ca1-80eec35b8bdc,36181424,Barbara Pusey-Swerdzewski,,Pusey-Swerdzewski,Barbara,B,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
8a7fe933-c0f4-4520-aacf-fd152b1ba673,36181424,Robert Downing,,Downing,Robert,R,"Uganda Virus Research Institute, Ministry of Health, Entebbe, Republic of Uganda.",,,,,,,,,,,,,,,,,
da720313-e31c-419d-8907-b97a6b071e5e,36181424,Sudhir Bunga,,Bunga,Sudhir,S,"Centers for Disease Control and Prevention, Atlanta, GA, 30329, USA.",,,,,,,,,,,,,,,,,
451239d0-367d-4f82-a531-af89a20e84fa,36181424,Jerry D Thomas,,Thomas,Jerry D,JD,"National Center for Environmental Health, Atlanta, GA, 30341, USA.",,,,,,,,,,,,,,,,,
d1d388a3-9292-4c61-ab06-3c7691a2d53b,36181424,William A Gahl,,Gahl,William A,WA,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
aeba0644-47b9-4d66-a385-a2dd7874dbe3,36181424,Avindra Nath,https://orcid.org/0000-0003-0927-5855,Nath,Avindra,A,"National Institutes of Health, Bethesda, MD, 20892, USA.",,,,,,,,,,,,,,,,,
f910c5af-a941-43b5-86fc-b5c5b55b93be,36175767,Trang Le,,Le,Trang,T,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden.; Department of Bioengineering, Stanford University, Stanford, CA, USA.",,,,,,,,,,,,,,,,,
635159c3-485f-46c6-9964-23d1e80385c3,36175767,Casper F Winsnes,https://orcid.org/0000-0002-0028-5865,Winsnes,Casper F,CF,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden.",,,,,,,,,,,,,,,,,
0fa7ffc9-6987-483d-a399-c7d70c152a3a,36175767,Ulrika Axelsson,https://orcid.org/0000-0002-0273-9306,Axelsson,Ulrika,U,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden.",,,,,,,,,,,,,,,,,
83d3505d-6987-45bb-a830-e377f8441b8b,36175767,Hao Xu,,Xu,Hao,H,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden.",,,,,,,,,,,,,,,,,
23629baf-9c78-40fb-b491-bfc630732467,36175767,Jayasankar Mohanakrishnan Kaimal,,Mohanakrishnan Kaimal,Jayasankar,J,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden.",,,,,,,,,,,,,,,,,
eb7d4fed-6c73-4bcc-8fa3-d6b5debb6878,36175767,Diana Mahdessian,,Mahdessian,Diana,D,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden.",,,,,,,,,,,,,,,,,
374331da-322b-4258-9494-938cc3d999f0,36175767,Shubin Dai,https://orcid.org/0000-0001-6680-0500,Dai,Shubin,S,", Changsha, China.",,,,,,,,,,,,,,,,,
f6ebeb79-48a6-43f7-811c-5afd51630f26,36175767,Ilya S Makarov,,Makarov,Ilya S,IS,", Copenhagen, Denmark.",,,,,,,,,,,,,,,,,
9cbb1d28-2c71-4e1a-89ba-bf0c0f98c565,36175767,Vladislav Ostankovich,https://orcid.org/0000-0001-7020-8825,Ostankovich,Vladislav,V,"Innopolis University, Innopolis, Russian Federation.",,,,,,,,,,,,,,,,,
5c4316e4-7858-42e1-a2eb-8a06f35afaa6,36175767,Yang Xu,,Xu,Yang,Y,"Research and Development Department, Guangdong Longsee Biomedical Corporation, Guangzhou, China.",,,,,,,,,,,,,,,,,
6bda5d4f-3eb0-4547-b3e9-07e93319980c,36175767,Eric Benhamou,,Benhamou,Eric,E,"LYSEWIRED, Toulouse, France.",,,,,,,,,,,,,,,,,
50a15b24-e8d5-4acd-8d60-7471cf3ba2a2,36175767,Christof Henkel,https://orcid.org/0000-0002-2913-3662,Henkel,Christof,C,"Nvidia, Santa Clara, CA, USA.",,,,,,,,,,,,,,,,,
e55ae3ce-9b87-41f6-8495-8ecefd6ab8e4,36175767,Roman A Solovyev,https://orcid.org/0000-0003-0312-452X,Solovyev,Roman A,RA,"Institute for Design Problems in Microelectronics of Russian Academy of Sciences, Moscow, Russian Federation.",,,,,,,,,,,,,,,,,
a0749f21-3ffa-4b3a-8c66-a36a198e861f,36175767,Nikola Banić,,Banić,Nikola,N,"Gideon Brothers, Zagreb, Croatia.",,,,,,,,,,,,,,,,,
45e1838b-e63c-4f1d-8af5-88d73f5b2e25,36175767,Vito Bošnjak,https://orcid.org/0000-0003-3786-0592,Bošnjak,Vito,V,"University Hospital 'Sveti Duh', Zagreb, Croatia.",,,,,,,,,,,,,,,,,
c67ec26f-d25c-4b2e-84c7-0084d48e67bd,36175767,Ana Bošnjak,https://orcid.org/0000-0002-3425-8363,Bošnjak,Ana,A,"Health Center Zagreb - West, Zagreb, Croatia.",,,,,,,,,,,,,,,,,
a312b1db-e949-46b9-959b-8a0af5c9881e,36175767,Andrija Miličević,https://orcid.org/0000-0001-7148-7651,Miličević,Andrija,A,"Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia.",,,,,,,,,,,,,,,,,
b4299e57-f207-4e19-97e9-6d6e680a514e,36175767,Wei Ouyang,https://orcid.org/0000-0002-0291-926X,Ouyang,Wei,W,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden.",,,,,,,,,,,,,,,,,
4d8a655d-3b9d-49c0-a91b-ad3f94abbcd6,36175767,Emma Lundberg,https://orcid.org/0000-0001-7034-0850,Lundberg,Emma,E,"Science for Life Laboratory, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH - Royal Institute of Technology, Stockholm, Sweden. emmalu@stanford.edu.; Department of Bioengineering, Stanford University, Stanford, CA, USA. emmalu@stanford.edu.; Department of Pathology, Stanford University, Stanford, CA, USA. emmalu@stanford.edu.; Chan Zuckerberg Biohub, San Francisco, CA, USA. emmalu@stanford.edu.",Yes,Yes,,,,,,,,,,,,,,,
a8919305-c749-4cfa-9f28-08a112de343a,36163507,Qitong Li,https://orcid.org/0000-0001-8048-9181,Li,Qitong,Q,"Geballe Laboratory for Advanced Materials, Stanford University, Stanford, CA, USA.",,,,,,,,,,,,,,,,,
099f3a0e-8e4c-4713-b7b1-2bb70c0f3839,36163507,Jorik van de Groep,https://orcid.org/0000-0003-3033-8005,van de Groep,Jorik,J,"Geballe Laboratory for Advanced Materials, Stanford University, Stanford, CA, USA.; Van der Waals-Zeeman Institute for Experimental Physics, Institute of Physics, University of Amsterdam, Amsterdam, Netherlands.",,,,,,,,,,,,,,,,,
526c205b-050e-486b-ad1a-d93958138ed2,36163507,Adam K White,,White,Adam K,AK,"Department of Bioengineering, Stanford University, Stanford, CA, USA.",,,,,,,,,,,,,,,,,
354b2510-763e-4948-88a6-183d254687f6,36163507,Jung-Hwan Song,https://orcid.org/0000-0001-9502-5718,Song,Jung-Hwan,JH,"Geballe Laboratory for Advanced Materials, Stanford University, Stanford, CA, USA.",,,,,,,,,,,,,,,,,
97b36127-ad00-4abc-a163-cf84137d0a2d,36163507,Scott A Longwell,,Longwell,Scott A,SA,"Department of Bioengineering, Stanford University, Stanford, CA, USA.",,,,,,,,,,,,,,,,,
4974a0c6-9708-4234-9ae0-1a97213ec683,36163507,Polly M Fordyce,,Fordyce,Polly M,PM,"Department of Bioengineering, Stanford University, Stanford, CA, USA.; Department of Genetics, Stanford University, Stanford, CA, USA.; ChEM-H Institute, Stanford University, Stanford, CA, USA.; Chan Zuckerberg Biohub, San Francisco, CA, USA.",,Yes,,Investigator,"Fordyce, Polly",Yes,FN-MI,,,,,,,,,,
